Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,CommonName,Maturity
MP70220,4,DF,0,0,0,0,0,0,0,0,0,0,0,0,504,627,85,30,1337,C. l,blacktip,MH
MP70220,5,S,2,1,0,0,0,0,0,0,0,0,0,3,451,568,25,11,211,C. i,finetooth,WH
MP70220,5,V,0,0,0,0,0,0,0,0,0,0,0,0,451,568,25,11,211,C. i,finetooth,WH
MP70220,5,B,0,0,0,0,0,0,0,0,0,0,0,0,451,568,25,11,211,C. i,finetooth,WH
MP70220,5,DF,0,0,0,0,0,0,0,0,0,0,0,0,451,568,25,11,211,C. i,finetooth,WH
MP70220,6,S,0,0,0,0,0,0,0,0,0,0,0,0,488,620,30,14,1150,C. l,blacktip,PH
MP70220,6,V,1,0,0,0,0,0,0,0,0,0,0,1,488,620,30,14,1150,C. l,blacktip,PH
MP70220,6,B,0,0,0,0,0,0,0,0,0,0,0,0,488,620,30,14,1150,C. l,blacktip,PH
MP70220,6,DF,0,0,0,0,0,0,0,0,0,0,0,0,488,620,30,14,1150,C. l,blacktip,PH
MP70220,7,S,0,0,0,0,0,1,0,0,0,0,0,1,475,597,51,21,1051,C. l,blacktip,WH
MP70220,7,V,0,0,0,0,0,0,0,0,0,0,0,0,475,597,51,21,1051,C. l,blacktip,WH
MP70220,7,B,0,0,0,0,0,0,0,0,0,0,0,0,475,597,51,21,1051,C. l,blacktip,WH
MP70220,7,DF,0,0,0,0,0,0,0,0,0,0,0,0,475,597,51,21,1051,C. l,blacktip,WH
MP70220,9,S,0,0,0,0,0,0,0,0,0,0,0,0,439,551,12,12,780,C. i,finetooth,PH
MP70220,9,V,2,1,0,1,0,0,0,0,0,0,0,4,439,551,12,12,780,C. i,finetooth,PH
MP70220,9,B,0,0,0,0,0,0,0,0,0,0,0,0,439,551,12,12,780,C. i,finetooth,PH
MP70220,9,DF,0,0,0,0,0,0,0,0,0,0,0,0,439,551,12,12,780,C. i,finetooth,PH
MP70220,10,S,0,0,0,0,0,0,0,0,0,0,0,0,304,378,7,6,170,R. t,sharpnose,WH
MP70220,10,V,0,0,0,0,0,0,0,0,0,0,0,0,304,378,7,6,170,R. t,sharpnose,WH
MP70220,10,B,0,0,0,0,0,0,0,0,0,0,0,0,304,378,7,6,170,R. t,sharpnose,WH
MP70220,10,DF,0,0,0,0,0,0,0,0,0,0,0,0,304,378,7,6,170,R. t,sharpnose,WH
MP70220,11,S,0,0,0,0,0,0,0,0,0,0,1,1,303,378,7,5,175,R. t,sharpnose,WH
MP70220,11,V,2,0,0,0,0,0,0,0,0,0,0,2,303,378,7,5,175,R. t,sharpnose,WH
MP70220,11,B,0,0,0,0,0,0,0,0,0,0,0,0,303,378,7,5,175,R. t,sharpnose,WH
MP70220,11,DF,0,0,0,0,0,0,0,0,0,0,0,0,303,378,7,5,175,R. t,sharpnose,WH
MP70620,1,S,0,1,0,0,0,1,0,0,0,0,0,2,373,490,18,13,461,S. g,hammer head,WH
MP70620,1,V,0,0,0,0,0,0,0,0,0,0,0,0,373,490,18,13,461,S. g,hammer head,WH
MP70620,1,B,1,0,0,0,0,1,1,0,0,0,0,3,373,490,18,13,461,S. g,hammer head,WH
MP70620,1,DF,0,0,0,0,0,0,0,0,0,0,0,0,373,490,18,13,461,S. g,hammer head,WH
MP70620,2,S,0,0,0,0,0,0,1,0,0,0,0,1,396,524,38,13,542,S. l,hammer head,WH
MP70620,2,V,0,0,0,0,0,0,1,0,0,0,0,1,396,524,38,13,542,S. l,hammer head,WH
MP70620,2,B,0,0,0,0,0,0,0,0,0,0,0,0,396,524,38,13,542,S. l,hammer head,WH
MP70620,2,DF,0,0,0,0,0,0,0,0,0,0,0,0,396,524,38,13,542,S. l,hammer head,WH
MP70620,3,S,0,2,0,0,0,1,0,0,0,0,0,3,385,504,53,12,534,S. l,hammer head,WH
MP70620,3,V,0,1,0,0,0,0,0,0,0,0,0,1,385,504,53,12,534,S. l,hammer head,WH
MP70620,3,B,0,0,0,0,0,0,0,0,0,0,0,0,385,504,53,12,534,S. l,hammer head,WH
MP70620,3,DF,0,0,0,0,0,0,0,0,0,0,0,0,385,504,53,12,534,S. l,hammer head,WH
MP70620,4,S,0,0,0,0,0,0,0,0,0,0,0,0,410,,61,10,640,S. l,hammer head,WH
MP70620,4,V,0,0,0,0,0,0,0,0,0,0,0,0,410,,61,10,640,S. l,hammer head,WH
MP70620,4,B,0,0,0,0,0,0,0,0,0,0,0,0,410,,61,10,640,S. l,hammer head,WH
MP70620,4,DF,0,0,0,0,0,0,0,0,0,0,0,0,410,,61,10,640,S. l,hammer head,WH
MP70620,5,S,0,0,0,0,0,0,0,0,0,0,0,0,466,622,40,28,932,S. l,hammer head,WH
MP70620,5,V,0,0,0,0,0,0,0,1,0,0,0,1,466,622,40,28,932,S. l,hammer head,WH
MP70620,5,B,0,0,0,0,0,0,0,0,0,0,0,0,466,622,40,28,932,S. l,hammer head,WH
MP70620,5,DF,0,0,0,0,0,0,0,0,0,0,0,0,466,622,40,28,932,S. l,hammer head,WH
MP70620,6,S,0,0,0,0,0,0,0,0,0,0,0,0,356,471,27,10,410,S. g,hammer head,WH
MP70620,6,V,0,0,0,0,0,1,0,0,0,0,0,1,356,471,27,10,410,S. g,hammer head,WH
MP70620,6,B,0,0,0,0,0,0,0,0,0,0,0,0,356,471,27,10,410,S. g,hammer head,WH
MP70620,6,DF,0,1,0,0,0,0,0,0,0,0,0,1,356,471,27,10,410,S. g,hammer head,WH
MP70620,7,S,0,0,0,0,0,0,0,0,0,0,0,0,294,365,9,10,181,R. t,sharpnose,WH
MP70620,7,V,0,0,0,0,0,0,0,0,0,0,0,0,294,365,9,10,181,R. t,sharpnose,WH
MP70620,7,B,0,0,0,0,0,0,0,0,0,0,0,0,294,365,9,10,181,R. t,sharpnose,WH
MP70620,7,DF,0,0,0,0,0,0,0,0,0,0,0,0,294,365,9,10,181,R. t,sharpnose,WH
MP70620,8,S,0,0,0,0,0,0,0,0,0,0,0,0,445,598,42,23,890,S. l,hammer head,WH
MP70620,8,V,1,0,0,0,0,0,0,0,0,0,0,1,445,598,42,23,890,S. l,hammer head,WH
MP70620,8,B,0,0,0,0,0,0,0,0,0,0,0,0,445,598,42,23,890,S. l,hammer head,WH
MP70620,8,DF,0,0,0,0,0,0,0,0,0,0,0,0,445,598,42,23,890,S. l,hammer head,WH
MP70620,9,S,0,0,0,0,0,0,0,0,0,0,0,0,375,487,24,13,452,S. g,hammer head,WH
MP70620,9,V,0,0,0,0,0,0,0,0,0,0,0,0,375,487,24,13,452,S. g,hammer head,WH
MP70620,9,B,1,0,0,0,0,0,1,0,0,0,0,2,375,487,24,13,452,S. g,hammer head,WH
MP70620,9,DF,0,0,0,0,0,0,0,0,0,0,0,0,375,487,24,13,452,S. g,hammer head,WH
MP70620,10,S,0,1,0,0,0,0,0,0,0,0,0,1,340,446,33,9,370,S. g,hammer head,WH
MP70620,10,V,0,0,0,0,0,0,0,0,0,0,0,0,340,446,33,9,370,S. g,hammer head,WH
MP70620,10,B,0,0,0,0,0,0,0,0,0,0,0,0,340,446,33,9,370,S. g,hammer head,WH
MP70620,10,DF,0,0,0,0,0,0,0,0,0,0,0,0,340,446,33,9,370,S. g,hammer head,WH
MP70620,11,S,0,0,0,0,0,1,0,0,0,0,0,1,460,615,55,26,970,S. l,hammer head,WH
MP70620,11,V,1,0,0,0,0,1,0,0,0,0,0,2,460,615,55,26,970,S. l,hammer head,WH
MP70620,11,B,1,0,0,0,0,0,0,0,0,0,0,1,460,615,55,26,970,S. l,hammer head,WH
MP70620,11,DF,0,0,0,0,0,0,0,0,0,0,0,0,460,615,55,26,970,S. l,hammer head,WH
MP70620,12,S,3,1,0,0,0,0,0,0,0,0,0,4,426,545,16,18,723,C. i,finetooth,WH
MP70620,12,V,3,0,0,0,0,0,0,0,0,0,0,3,426,545,16,18,723,C. i,finetooth,WH
MP70620,12,B,0,0,0,0,0,0,0,0,0,0,0,0,426,545,16,18,723,C. i,finetooth,WH
MP70620,12,DF,0,0,0,0,0,0,0,0,0,0,0,0,426,545,16,18,723,C. i,finetooth,WH
