Sacrifice ID,ID #,Sample Type,Clear Fiber,Blue Fiber,Blue Film,Blue Foam,Black Film,Black Fiber,Red Fiber,Red Film,Purple Fiber,Grey Fiber,Green Fiber,Total,FL (mm),TL (mm),St. W (g),SV W (g),FW (g),Species,Maturity
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,3,S,0,2,0,0,0,1,0,0,0,0,0,3,385,504,53,12,534,S. l,WH
,,V,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,4,S,0,0,0,0,0,0,0,0,0,0,0,0,410,,61,10,640,S. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,5,S,0,0,,0,0,0,0,0,0,0,0,0,466,622,40,28,932,S. l,WH
,,V,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,6,S,0,0,0,0,0,0,0,0,0,0,0,0,356,471,27,10,410,S. g,WH
,,V,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
MP70620,7,S,0,0,0,0,0,0,0,0,0,0,0,0,294,365,9,10,181,R. t,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,8,S,0,0,0,0,0,0,0,0,0,0,0,0,445,598,42,23,890,S. l,WH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,9,S,0,0,0,0,0,0,0,0,0,0,0,0,375,487,24,13,452,S. g,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,1,0,0,0,0,0,1,0,0,0,0,2,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,10,S,0,1,0,0,0,0,0,0,0,0,0,1,340,446,33,9,370,S. g,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,11,S,0,0,0,0,0,1,0,0,0,0,0,1,460,615,55,26,970,S. l,WH
,,V,1,0,0,0,0,1,0,0,0,0,0,2,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,12,S,3,1,0,0,0,0,0,0,0,0,0,4,426,545,16,18,723,C. i,WH
,,V,3,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,13,S,8,0,0,0,0,0,0,0,0,0,0,8,279,343,6,5,160,R. t,WH
,,V,1,0,0,0,0,1,0,0,0,0,0,2,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,14,S,1,0,0,0,0,0,0,0,0,0,0,1,479,604,32,24,1079,C. i,WH
,,V,6,1,0,0,0,0,0,0,0,0,0,7,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,15,S,0,0,0,0,0,0,0,0,0,0,0,0,354,467,35,8,443,S. g,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,16,S,2,0,0,0,0,3,0,0,0,0,0,5,439,578,23,19,770,S. l,WH
,,V,1,1,0,0,0,0,0,0,0,0,0,2,,,,,,,
,,B,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
,,DF,0,1,0,0,0,0,1,0,0,0,0,2,,,,,,,
MP70620,17,S,2,0,0,0,0,0,0,1,0,0,0,3,469,590,12,15,960,C. i,WH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,18,S,2,0,1,0,1,0,0,0,0,0,0,4,446,564,13,18,801,C. i,WH
,,V,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,B,1,0,0,0,1,0,0,0,0,0,0,2,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,21,S,0,1,0,0,0,0,0,0,0,0,0,1,431,577,22,15,667,S. l,WH
,,V,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,22,S,0,0,0,0,0,0,0,0,0,0,0,0,420,560,23,22,713,S. l,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,23,S,0,0,0,0,0,0,0,0,0,0,0,0,268,333,4,3,129,R. t,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP70620,24,S,2,0,0,0,0,0,0,0,0,0,0,2,295,367,11,5,176,R. t,WH
,,V,1,0,0,0,0,1,0,0,0,0,0,2,,,,,,,
,,B,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP71420,1,S,0,1,0,0,0,1,1,0,0,0,0,3,500,637,46,26,1402,C. l,PH
,,V,3,0,0,0,0,0,0,0,0,0,0,3,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP71420,2,S,0,1,0,0,0,0,0,0,0,0,0,1,516,652,45,26,1347,C. l,MH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,1,S,0,0,0,0,0,0,0,0,0,0,0,0,324,406,8,7,220,R. t,WH
,,V,3,0,0,0,0,1,0,0,0,0,0,4,,,,,,,
,,B,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,2,S,1,0,0,0,0,0,0,0,0,0,0,1,488,613,18,21,963,C. i,WH
,,V,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,,B,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,
,,DF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
MP72020,3,S,0,0,0,0,0,0,0,0,0,0,0,0,370,456,17,6,335,R. t,WH
